Protocol,Source IP,Destination IP,Source Port,Destination Port,Packet Size
DNS,192.168.0.102,1.1.1.1,56826,53,79
DNS,1.1.1.1,192.168.0.102,53,56826,161
HTTPS,192.168.0.102,13.107.5.93,61219,443,66
HTTPS,13.107.5.93,192.168.0.102,443,61219,66
HTTPS,192.168.0.102,13.107.5.93,61219,443,54
HTTPS,192.168.0.102,13.107.5.93,61219,443,571
HTTPS,13.107.5.93,192.168.0.102,443,61219,54
HTTPS,13.107.5.93,192.168.0.102,443,61219,153
HTTPS,192.168.0.102,13.107.5.93,61219,443,398
HTTPS,13.107.5.93,192.168.0.102,443,61219,54
HTTPS,13.107.5.93,192.168.0.102,443,61219,1454
HTTPS,13.107.5.93,192.168.0.102,443,61219,1454
HTTPS,13.107.5.93,192.168.0.102,443,61219,1454
HTTPS,13.107.5.93,192.168.0.102,443,61219,1454
HTTPS,13.107.5.93,192.168.0.102,443,61219,777
HTTPS,192.168.0.102,13.107.5.93,61219,443,54
HTTPS,192.168.0.102,13.107.5.93,61219,443,1454
HTTPS,192.168.0.102,13.107.5.93,61219,443,279
HTTPS,13.107.5.93,192.168.0.102,443,61219,54
HTTPS,13.107.5.93,192.168.0.102,443,61219,54
HTTPS,13.107.5.93,192.168.0.102,443,61219,513
HTTPS,192.168.0.102,13.107.5.93,61219,443,54
HTTPS,13.107.5.93,192.168.0.102,443,61219,1454
HTTPS,13.107.5.93,192.168.0.102,443,61219,115
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,1100
HTTPS,13.107.5.93,192.168.0.102,443,61219,238
HTTPS,192.168.0.102,13.107.5.93,61219,443,54
DNS,192.168.0.102,1.1.1.1,63293,53,92
DNS,1.1.1.1,192.168.0.102,53,63293,213
HTTPS,192.168.0.102,51.105.71.136,61220,443,66
DNS,192.168.0.102,1.1.1.1,49531,53,92
HTTPS,192.168.0.102,4.207.44.75,61189,443,172
HTTPS,192.168.0.102,4.207.44.75,61189,443,93
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,238
DNS,192.168.0.102,1.1.1.1,62571,53,92
DNS,1.1.1.1,192.168.0.102,53,49531,262
DNS,1.1.1.1,192.168.0.102,53,62571,213
HTTPS,51.105.71.136,192.168.0.102,443,61220,66
